goos: darwin
goarch: arm64
pkg: pkg.gostartkit.com/web
cpu: Apple M2
BenchmarkTreeGetValueCatchAllPooled-8                     	79842974	        15.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeGetValueCatchAllPooled-8                     	79286641	        15.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeGetValueCatchAllPooled-8                     	77121858	        15.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeGetValueCatchAllPooled-8                     	80076290	        15.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkParseMediaTypeExactJSON-8                        	624297391	         1.920 ns/op	       0 B/op	       0 allocs/op
BenchmarkParseMediaTypeExactJSON-8                        	614069482	         1.955 ns/op	       0 B/op	       0 allocs/op
BenchmarkParseMediaTypeExactJSON-8                        	557941117	         1.933 ns/op	       0 B/op	       0 allocs/op
BenchmarkParseMediaTypeExactJSON-8                        	623094747	         1.947 ns/op	       0 B/op	       0 allocs/op
BenchmarkParseMediaTypeExactJSON-8                        	616595935	         1.933 ns/op	       0 B/op	       0 allocs/op
BenchmarkParseMediaTypeWithParameters-8                   	299666994	         3.863 ns/op	       0 B/op	       0 allocs/op
BenchmarkParseMediaTypeWithParameters-8                   	309491757	         3.888 ns/op	       0 B/op	       0 allocs/op
BenchmarkParseMediaTypeWithParameters-8                   	296101879	         3.848 ns/op	       0 B/op	       0 allocs/op
BenchmarkParseMediaTypeWithParameters-8                   	311418448	         3.890 ns/op	       0 B/op	       0 allocs/op
BenchmarkParseMediaTypeWithParameters-8                   	308042968	         3.927 ns/op	       0 B/op	       0 allocs/op
BenchmarkAcceptMediaTypeEmpty-8                           	576232450	         1.950 ns/op	       0 B/op	       0 allocs/op
BenchmarkAcceptMediaTypeEmpty-8                           	612212618	         1.953 ns/op	       0 B/op	       0 allocs/op
BenchmarkAcceptMediaTypeEmpty-8                           	611735640	         1.983 ns/op	       0 B/op	       0 allocs/op
BenchmarkAcceptMediaTypeEmpty-8                           	610714216	         1.962 ns/op	       0 B/op	       0 allocs/op
BenchmarkAcceptMediaTypeEmpty-8                           	610939636	         1.957 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryInt-8                                         	174189063	         6.663 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryInt-8                                         	179718290	         6.693 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryInt-8                                         	176570817	         6.756 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryInt-8                                         	178963465	         6.699 ns/op	       0 B/op	       0 allocs/op
